tai version : 2.7.12
PyTorch version: 1.12.1
Number of GPUs : 1
Device         : cuda

Dataset sizes: "train, val"--> [346, 88] 


- - - - -
Training for 1000 epochs:
- - - - -

epoch     train_loss  valid_loss  error_rate  time    
0         1.297663    1.134268    0.500000    00:16                                    
epoch     train_loss  valid_loss  error_rate  time    
458       0.027214    2.512122    0.500000    00:05                                         
459       0.025841    2.702953    0.488636    00:05                                         
460       0.024184    2.691047    0.477273    00:05                                         
461       0.024658    2.660566    0.420455    00:05                                         
462       0.022597    2.829420    0.488636    00:05                                         
463       0.020862    2.936292    0.522727    00:05                                         
464       0.021803    2.759769    0.522727    00:05                                         
465       0.020172    2.717599    0.488636    00:05                                         
466       0.018624    2.594995    0.454545    00:05                                         
467       0.017252    2.636142    0.431818    00:05                                         
468       0.016820    2.742259    0.431818    00:05                                         
469       0.018683    3.162431    0.465909    00:05                                         
470       0.021431    3.871300    0.500000    00:05                                         
471       0.028885    2.991886    0.454545    00:05                                         
472       0.028549    2.361197    0.397727    00:05                                         
473       0.033352    2.197474    0.420455    00:05                                         
474       0.033016    2.368675    0.443182    00:05                                         
475       0.033483    2.289888    0.443182    00:05                                         
476       0.033357    2.226440    0.420455    00:05                                         
477       0.032060    2.191220    0.420455    00:05                                         
478       0.031111    2.247702    0.409091    00:05                                         
479       0.031218    2.157129    0.420455    00:05                                         
480       0.031002    1.860101    0.397727    00:05                                         
481       0.029878    1.778488    0.352273    00:05                                         
482       0.028010    1.823756    0.363636    00:05                                         
483       0.027828    2.121273    0.431818    00:05                                         
484       0.026663    2.239451    0.443182    00:05                                         
485       0.026338    2.377302    0.409091    00:05                                         
486       0.024559    2.775860    0.465909    00:05                                         
487       0.023849    2.953463    0.409091    00:05                                         
488       0.023044    2.910316    0.397727    00:05                                         
489       0.024619    2.849582    0.431818    00:05                                         
490       0.025688    2.726771    0.443182    00:05                                         
491       0.027828    2.627451    0.420455    00:05                                         
492       0.027949    2.586894    0.443182    00:05                                         
493       0.027893    2.288640    0.409091    00:05                                         
494       0.026430    1.992682    0.454545    00:05                                         
495       0.026064    2.244136    0.465909    00:05                                         
496       0.025490    2.365417    0.443182    00:05                                         
497       0.024703    2.502185    0.443182    00:05                                         
498       0.024044    2.623058    0.477273    00:05                                         
499       0.025132    2.485138    0.477273    00:05                                         
500       0.026264    2.395577    0.454545    00:05                                         
501       0.025889    2.334109    0.409091    00:05                                         
502       0.024462    2.425380    0.397727    00:05                                         
503       0.025755    2.610720    0.409091    00:05                                         
504       0.027513    2.699122    0.431818    00:05                                         
505       0.025179    2.707748    0.454545    00:05                                         
506       0.024272    2.572562    0.443182    00:05                                         
507       0.022535    2.455273    0.397727    00:05                                         
508       0.021362    2.398754    0.397727    00:05                                         
509       0.021241    2.383484    0.409091    00:05                                         
510       0.019698    2.421644    0.397727    00:05                                         
511       0.018729    2.464118    0.431818    00:05                                         
512       0.018026    2.611599    0.443182    00:05                                         
513       0.016880    2.830407    0.465909    00:05                                         
514       0.016281    2.924235    0.454545    00:05                                         
515       0.015324    2.651982    0.420455    00:05                                         
516       0.016005    2.667652    0.443182    00:05                                         
517       0.014673    2.795695    0.443182    00:05                                         
518       0.015968    2.771218    0.431818    00:05                                         
519       0.014827    2.680334    0.454545    00:05                                         
520       0.014332    2.418695    0.477273    00:05                                         
521       0.014392    2.502645    0.420455    00:05                                         
522       0.014602    2.587263    0.409091    00:05                                         
523       0.015768    2.847018    0.454545    00:05                                         
524       0.016790    2.867913    0.488636    00:05                                         
525       0.016780    2.539414    0.420455    00:05                                         
526       0.015727    2.467885    0.386364    00:05                                         
527       0.017321    2.396456    0.397727    00:05                                         
528       0.016274    2.275966    0.397727    00:05                                         
529       0.016244    2.432372    0.431818    00:05                                         
530       0.015452    2.752680    0.431818    00:05                                         
531       0.014645    2.907281    0.443182    00:05                                         
532       0.016956    2.646346    0.431818    00:05                                         
533       0.017565    2.655350    0.420455    00:05                                         
534       0.016363    2.840628    0.477273    00:05                                         
535       0.015548    2.967970    0.465909    00:05                                         
536       0.017827    2.966741    0.465909    00:05                                         
537       0.020836    2.786044    0.477273    00:05                                         
538       0.019627    2.911422    0.431818    00:05                                         
539       0.020718    2.990020    0.454545    00:05                                         
540       0.022298    2.869744    0.465909    00:05                                         
541       0.021642    2.895539    0.431818    00:05                                         
542       0.021155    2.863354    0.454545    00:05                                         
543       0.020532    2.917095    0.454545    00:05                                         
544       0.020171    3.052003    0.465909    00:05                                         
545       0.023915    2.418665    0.465909    00:05                                         
546       0.024869    2.499361    0.420455    00:05                                         
547       0.024303    2.730342    0.488636    00:05                                         
548       0.022736    2.780383    0.488636    00:05                                         
549       0.022258    2.781377    0.477273    00:05                                         
550       0.020822    2.650056    0.454545    00:05                                         
551       0.019114    2.463410    0.477273    00:05                                         
552       0.019417    2.361490    0.465909    00:05                                         
553       0.017696    2.295836    0.420455    00:05                                         
554       0.020021    2.508403    0.454545    00:05                                         
555       0.018406    2.570409    0.477273    00:05                                         
556       0.017016    2.576617    0.465909    00:05                                         
557       0.016251    2.568409    0.488636    00:05                                         
558       0.014926    2.700736    0.511364    00:05                                         
559       0.014961    2.635738    0.511364    00:05                                         
560       0.015761    2.351917    0.488636    00:05                                         
561       0.016075    2.412090    0.465909    00:05                                         
562       0.014662    2.637315    0.477273    00:05                                         
